mark1,mark2,mark3,attendance,fee_paid_flag,edu_loan_flag,yearly_income,yearly_fees,dropped_out
51,62,56,44,1,1,273626,126023,0
92,21,45,55,1,1,260704,73952,0
14,10,7,46,0,0,286579,42766,1
71,57,9,90,1,0,468014,115273,0
60,56,72,40,1,0,444079,41213,0
20,76,66,48,1,1,66148,113891,0
82,3,10,57,1,1,136545,82239,1
86,85,11,84,1,1,104459,42537,1
74,6,9,97,1,0,264417,22794,0
74,60,24,86,0,0,396368,79204,0
87,53,48,42,1,1,378333,129832,1
99,87,48,63,0,0,451345,52324,1
23,67,88,67,1,1,141954,76764,1
2,91,10,49,1,0,335262,50858,1
21,78,61,48,1,1,181515,62850,0
52,0,35,52,1,0,470257,33018,1
1,54,38,87,1,1,139379,147171,0
87,2,52,74,1,1,333197,103017,0
29,77,89,93,1,0,408528,70790,0
37,37,77,62,1,1,218276,101120,1
1,0,55,86,1,0,429689,29850,1
63,37,0,56,1,1,223312,111237,1
59,84,55,85,1,1,282415,126759,0
20,28,3,46,1,1,438819,129488,1
32,4,29,91,1,0,405893,65975,0
75,73,11,55,1,1,189363,85510,1
57,91,34,92,1,1,289654,85696,0
21,20,76,79,1,0,328429,45832,0
88,70,51,75,1,1,373733,116746,0
48,66,30,59,1,1,63944,107826,0
90,46,86,63,1,1,151041,114977,1
58,83,67,86,0,0,401020,44886,0
41,82,51,44,1,1,407705,117930,0
91,34,79,84,1,1,104391,28418,0
59,67,6,45,1,1,51607,143152,0
79,68,21,67,0,0,310314,27081,0
14,0,92,98,1,1,52953,122716,1
61,67,74,44,1,1,94941,30114,1
61,11,55,88,1,1,252541,137845,0
46,59,96,78,1,0,373827,38722,1
61,26,57,77,1,1,251290,107508,0
50,55,92,41,1,1,421732,149752,0
54,22,63,82,1,1,434224,148870,0
63,24,11,78,1,0,323298,37985,0
2,20,6,93,1,0,437686,25888,0
100,60,54,60,1,1,190119,89254,0
50,62,61,79,1,1,138529,117683,0
6,51,89,76,1,1,256946,140234,0
20,87,72,98,1,1,64323,128918,0
72,24,97,57,1,1,349837,103845,0
38,54,76,93,1,1,239802,143446,0
17,45,54,87,1,0,311092,39299,1
3,31,35,85,1,0,401314,76050,0
88,54,88,51,1,1,469508,126747,0
59,95,23,56,1,1,95111,42036,0
13,4,43,76,1,1,276325,145234,1
